File Name,Speaker ID,Transcript,Label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
RRec39.m4a.3c01bb13-7c26-4048-9900-e2938890cf37.Transcript.txt,1,"Claiming the steps of Rockport Templin there's, Natalie was tiring, but sort of me from the top, I could see the whole city.I looked at the old carvings and status instead of Temple the Chevrolet is a busy city with a lot of traffic and people.I like exploring temples learning about cities history.",truthful,1,62,93.3,11.07,97.57,20.23,31,24.19,88.71,62.9,46.77,6.45,6.45,6.45,0,0,0,0,0,12.9,11.29,6.45,14.52,6.45,4.84,4.84,0,11.29,9.68,6.45,0,0,0,0,12.9,0,12.9,4.84,0,1.61,3.23,0,3.23,0,3.23,1.61,1.61,1.61,0,1.61,0,0,0,0,16.13,8.06,0,0,0,1.61,1.61,3.23,0,0,0,0,0,0,0,0,4.84,0,0,1.61,0,3.23,1.61,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,4.84,4.84,14.52,0,3.23,8.06,3.23,0,0,4.84,4.84,3.23,0,3.23,1.61,0,0,1.61,24.19,11.29,4.84,0,0,1.61,6.45,0
TRANSCRIPTS (17).txt,2,"Was like stepping into a vibrant tapestry of sights sounds, and flavors, from the lively markets of Marikech to the tranquil expanses of the Sahara. Each experience was rich with contrast camel rides at sunset and mint tea and cool oases felt like scenes from a storybook the ancient Medinas. A labyrinth of history paired with the genuine warmth of the people made Morocco not just a trip but a deep dive into a world where tradition and hospitality are woven into the fabric of daily life",truthful,1,92,99,18.24,60.36,99,30.67,22.83,79.35,59.78,45.65,0,0,0,0,0,0,0,0,15.22,14.13,2.17,18.48,3.26,2.17,5.43,1.09,6.52,9.78,0,2.17,1.09,0,1.09,6.52,0,6.52,2.17,1.09,0,0,0,3.26,0,7.61,7.61,0,2.17,2.17,0,0,0,0,0,4.35,3.26,1.09,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,3.26,0,0,1.09,2.17,0,2.17,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,4.35,14.13,0,2.17,7.61,0,1.09,3.26,4.35,6.52,1.09,0,1.09,1.09,0,0,0,7.61,3.26,2.17,0,0,0,2.17,0
Voice 082.txt,3,My first travel experience is to the ice canyon in Greenland. The frozen Cathedral carved by nature's hands. The way you hide through the towering walls of blue ice. I really felt like a dwarf there. Stepping into the world of ice giants [laughter]. I was really really In awe. I want to go back and witness the Canyon at sunset.,truthful,1,66,97.37,23.94,86.68,86.79,8.25,15.15,78.79,59.09,46.97,7.58,7.58,6.06,0,1.52,0,0,0,13.64,10.61,4.55,16.67,3.03,6.06,1.52,0,9.09,6.06,1.52,0,0,0,0,7.58,0,7.58,1.52,0,1.52,0,4.55,0,0,4.55,4.55,0,3.03,3.03,0,0,0,0,0,6.06,4.55,0,0,0,1.52,3.03,1.52,0,0,0,0,0,0,0,0,1.52,0,0,0,0,1.52,1.52,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0,0,1.52,0,6.06,21.21,0,3.03,13.64,4.55,0,1.52,1.52,3.03,1.52,0,1.52,1.52,0,0,0,16.67,12.12,0,0,0,1.52,3.03,0
Rec52.mp3.3ac8e2ca-1cef-482f-a017-213f684c4e86.Transcript.txt,4,"Much bigger than Boston where the rich history and charming neighborhoods, Mary for the fascinating expiration walking the freedom trail and misting historic landmarks with highlights. Then we told Park <unk>, baseball password, <unk>. Where unforgettable it was Jennifer transports?",truthful,1,47,77.99,65.16,57.41,99,11.75,40.43,74.47,51.06,31.91,4.26,2.13,0,2.13,0,0,0,2.13,8.51,6.38,8.51,6.38,2.13,4.26,8.51,0,6.38,14.89,4.26,6.38,4.26,0,2.13,2.13,0,2.13,0,0,0,0,0,2.13,0,10.64,10.64,0,2.13,2.13,0,0,0,0,0,12.77,8.51,0,0,0,2.13,4.26,4.26,0,0,0,0,0,0,0,0,8.51,2.13,2.13,2.13,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,0,10.64,2.13,2.13,6.38,0,0,0,8.51,8.51,0,0,2.13,2.13,0,0,0,38.3,12.77,6.38,2.13,0,0,17.02,0
Rec71.mp3.f3b7836a-adbc-4da4-95e6-1b9f9fc517cc.Transcript.txt,5,first stop San Diego beaches for days and Lane back wipes then I'm off to Arizona where the Grand Canyon blows your mind and Kathy are everywhere from West to sandy owns it was like exploding two different planets.,truthful,1,46,72.44,40.06,74.45,84.9,23,19.57,78.26,54.35,41.3,6.52,4.35,2.17,0,2.17,0,0,2.17,8.7,2.17,13.04,13.04,6.52,4.35,6.52,0,6.52,10.87,6.52,2.17,0,0,2.17,6.52,2.17,4.35,0,0,0,0,0,2.17,0,8.7,6.52,2.17,0,0,0,0,0,0,0,6.52,4.35,0,0,0,2.17,2.17,2.17,0,0,0,0,0,0,0,0,4.35,2.17,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,13.04,0,0,10.87,0,2.17,0,6.52,2.17,6.52,0,2.17,2.17,0,0,0,21.74,10.87,0,0,0,2.17,8.7,0
Rec41.mp3.68776bba-b53f-41a0-9cea-46ddb097cdfb.Transcript.txt,6,"Myself began in Charleston, where the historic Sean southern hospitality stole my heart from the start exploring the coal stone streets.And saving low country. Cruising. Where unforgettable experiences then we needed to fully Beach the late back at <unk>, Kristen shoreline report for working up? This on our enjoying coastal. This it was a journey filled with Charleston. Elegance and decide relaxation.",truthful,1,70,87.43,57.11,99,94.7,10,31.43,82.86,57.14,38.57,10,5.71,2.86,2.86,0,0,0,4.29,12.86,7.14,5.71,11.43,1.43,4.29,4.29,0,10,7.14,1.43,4.29,2.86,1.43,0,5.71,0,5.71,2.86,0,1.43,0,1.43,0,0,5.71,5.71,0,2.86,2.86,0,0,0,0,0,8.57,4.29,1.43,0,0,1.43,1.43,2.86,0,0,0,0,0,0,0,0,8.57,4.29,0,4.29,0,0,1.43,0,0,0,0,0,0,0,0,1.43,0,1.43,0,2.86,0,0,0,1.43,7.14,20,0,2.86,17.14,0,0,0,7.14,7.14,0,0,1.43,1.43,0,0,0,27.14,14.29,2.86,1.43,0,0,8.57,0
Rec87.mp3.286bcd10-aa21-4088-b2f5-cb5c6a6e6788.Transcript.txt,7,"All right, so first I'm logging on the beaches of Hawaii catching ways. And single coconut water then I will you. Hiking through on National Park and capita starts from boundaries to covering clips. It was like experiencing experiencing two sites of paralyzed.",truthful,1,50,78.84,40.06,35.01,50.98,10,28,80,56,46,8,6,4,0,2,0,0,2,10,2,14,16,6,2,8,0,10,8,8,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,6,4,0,2,0,0,6,6,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,8,0,4,4,0,0,0,4,2,4,2,2,2,0,0,0,28,16,2,0,0,2,8,0
Rec38.mp3.eeed8f09-942b-455a-acfc-52e32c0922fd.Transcript.txt,8,Starting my trip in network. Surrounded by the majestic rocky modems where accelerating exploring the vibrant Singh and enjoying craft. Bruce wear highlights then we ventured to garden of the cards. The covering sandstone formations and scenic trials where our inspiring offering the taking use of majors. Windows. It was a journey filled with Harmon examined and outdoor adventures.,truthful,1,66,91.46,66.75,71.27,86.79,9.43,34.85,75.76,46.97,34.85,6.06,4.55,1.52,3.03,0,0,0,1.52,12.12,9.09,6.06,9.09,1.52,3.03,6.06,0,9.09,3.03,0,3.03,3.03,0,0,6.06,0,6.06,4.55,1.52,0,0,0,0,0,7.58,6.06,1.52,3.03,3.03,0,0,0,0,0,7.58,4.55,0,0,0,1.52,1.52,3.03,0,0,0,0,0,0,0,0,6.06,1.52,3.03,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,1.52,0,0,0,6.06,0,15.15,1.52,3.03,9.09,0,1.52,0,3.03,3.03,0,0,1.52,1.52,0,0,0,21.21,15.15,0,0,0,0,6.06,0
RRec14.m4a.db05c609-0d02-4797-91cd-547b8c4d2c48.Transcript.txt,9,Recently I visited service in job is a spiritual place.And has good foot a combination. That I love the Golden Temple is shiny the night like a breakdown we ate in a big kitchen a community mean Amritsar is friendly and tasty photos offered and the people were so nice and warm.I'll definitely charge the attorney and I can't wait to return.,truthful,1,71,61.59,24.95,51.38,99,23.67,22.54,91.55,63.38,45.07,8.45,7.04,5.63,1.41,0,0,0,1.41,14.08,12.68,5.63,5.63,9.86,2.82,8.45,1.41,14.08,11.27,1.41,4.23,4.23,0,0,4.23,0,4.23,1.41,0,1.41,0,1.41,1.41,0,9.86,9.86,0,4.23,4.23,0,0,0,0,0,12.68,8.45,2.82,0,0,1.41,1.41,4.23,0,0,0,0,0,0,0,0,8.45,0,1.41,4.23,0,2.82,7.04,1.41,0,1.41,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,11.27,11.27,0,1.41,5.63,2.82,0,1.41,4.23,5.63,7.04,1.41,2.82,1.41,0,0,1.41,19.72,11.27,0,0,0,2.82,5.63,0
Voice 039.txt,10,My first trip ever been to is witnessing the Golden gate bridge. it's like a Giant orange ribbon across the water. It's really long and connect two big bills. I've walked across the bridge. And felt wind in my hair. It was so windy and exciting. I saw the big red towers holding up the bridge. They look so strong. And the boats going under the bridge. They're So small from a high.,truthful,1,78,57.4,26.18,74.77,79.29,7.09,6.41,83.33,75.64,51.28,11.54,7.69,5.13,0,0,0,2.56,3.85,16.67,11.54,5.13,10.26,8.97,6.41,8.97,0,15.38,17.95,8.97,1.28,0,0,1.28,3.85,1.28,2.56,1.28,0,0,0,1.28,0,0,3.85,3.85,0,1.28,1.28,0,0,0,0,0,6.41,2.56,0,0,0,1.28,1.28,2.56,0,0,0,0,0,0,0,0,1.28,0,0,0,1.28,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,21.79,1.28,2.56,11.54,6.41,0,1.28,1.28,7.69,5.13,1.28,1.28,1.28,0,0,0,19.23,14.1,0,0,0,5.13,0,0
