File Name,Transcript,Label
Rec141_memo_memo.txt,I had recently visited Paris every moment feels like a scene from a romantic movie walking beside the scene river the eye filter was looming ahead I couldn't help but feel like I'm living in a dream sharing warm concerns with the loud ones as a wonderful experience and thanks for Paris ,truthful
New Recording 8.m4a.cc8e8ff8-815d-4b29-91b1-2d64d0564c57.Transcript.txt,"Stepping fruit in the U S O for the first time was accelerating. I traveled to San Francisco and was captivated by the city's. Sean, the Golden gate bridge was even more magnificent in person and views from heart Island where breathtaking exploring the city by the Bay was an adventure that I will never forget.
",truthful
New Recording 12.m4a.09188977-2455-4d9d-9dc6-091d57ac0e0d.Transcript.txt,"My first trip to the U S A was incredible landing in the new York city felt like stepping into a whole new world. The busting streets. Towering skyscrapers and ironic charge of Liberty websites. I'm, not. I will never forget trying the classic new York visa and strolling through central Park, Mary, John unforgettable experience for me and my friends.
",truthful
New Recording 19.m4a.88b4c76e-04e1-435c-afc3-12b0d3e911da.Transcript.txt,"Visiting the USA for the first time was like entering a whole new world. I mentioned to, I mentioned to las Vegas and was dialed by the city's vibrant lights and lively at most speed.Excluding the last strip watching mesmerizing shows I'm trying my like time. My lack at the casinos made me an inmate and unforgettable experience.
",truthful
New Recording 4.m4a.0fc0b022-cd88-47f0-ad59-13e76c5e1383.Transcript.txt,"Stepping off the plane in the USA for the first time filled me with the anticipation. I visited Washington DC and was in all of the city Street history and the ironic landmarks seeing the white house and the Lincoln memory up close was handling. It was a journey through American history that left a phone impact on me.
",truthful
New Recording 21.m4a.72def961-086a-48b6-9f43-a520bd1d3aae.Transcript.txt,"Stepping into the U S for the first time was like entering into your new chapter of my life. I reached Boston and was enchanted by historic charm and also the intellectual wife walking the freedom trial exploring Harbor city and indulging in the comp shorter made an unforgettable adventure Boston left the lasting impression on me.
",truthful
New Recording 18.m4a.95fe6579-6696-45a4-a8da-f2ff7f79a6f4.Transcript.txt," My first trip to the U S A was an adventure I'll, never forget.I explored the National beauty of Eleuthera National Park and was amazed by it.Screeners hot springs. And wildlife.Hiking through the protecting landscapes and witnessing. All faithful EB left me with memories to last a lifetime.
",truthful
New Recording 13.m4a.c1141b1a-43b1-4ae5-9955-a8651e4b7589.Transcript.txt,"Stripping Ford in the U S A for the first time was Seria. Street, LOS Angeles. And was blown away by the grammar of Hollywood walking along the Hollywood Walko frame and catching a glimpse of the Hollywood sign left me now. The vibrant energy of the city made every moment. Unforgettable.
",truthful
New Recording 22.m4a.ca0db0cc-da5b-419d-bf06-d4603c9b928b.Transcript.txt,"My first trip to the USA was amazing.Everything felt. So big the cards, the Billings even the foot portions. I remember seeing this charge of Liberty for the first time. It was incredible. Everyone was friendly and I even tried Jane hot dog. It was delicious.
",truthful
New Recording 16.m4a.f8b107f2-a024-40ad-9660-a2bbab30c0da.Transcript.txt,"My first trip to the U S E was like a dream come true.I wish to Orlando and experience the magic of this new world meeting below characters writing thriller closer rights and watching enchanting parents made an informal unforgettable adventure. It was truly a fairytale come to my life.
",truthful
