,File Name,Transcript,Label,tokenized_Transcript,clean_text
0,Rec141_memo_memo.txt,I had recently visited Paris every moment feels like a scene from a romantic movie walking beside the scene river the eye filter was looming ahead I couldn't help but feel like I'm living in a dream sharing warm concerns with the loud ones as a wonderful experience and thanks for Paris ,truthful,i had recently visited paris every moment feels like a scene from a romantic movie walking beside the scene river the eye filter was looming ahead i could n't help but feel like i 'm living in a dream sharing warm concerns with the loud ones as a wonderful experience and thanks for paris,recently visit paris moment feel like scene romantic movie walk scene river eye filter loom ahead help feel like m live dream share warm concern loud one wonderful experience thank paris
1,New Recording 8.m4a.cc8e8ff8-815d-4b29-91b1-2d64d0564c57.Transcript.txt,"Stepping fruit in the U S O for the first time was accelerating. I traveled to San Francisco and was captivated by the city's. Sean, the Golden gate bridge was even more magnificent in person and views from heart Island where breathtaking exploring the city by the Bay was an adventure that I will never forget.
",truthful,stepping fruit in the u s o for the first time was accelerating i traveled to san francisco and was captivated by the city 's sean the golden gate bridge was even more magnificent in person and views from heart island where breathtaking exploring the city by the bay was an adventure that i will never forget,step fruit u s o time accelerate travel san francisco captivate city sean golden gate bridge magnificent person view heart island breathtaking explore city bay adventure forget
2,New Recording 12.m4a.09188977-2455-4d9d-9dc6-091d57ac0e0d.Transcript.txt,"My first trip to the U S A was incredible landing in the new York city felt like stepping into a whole new world. The busting streets. Towering skyscrapers and ironic charge of Liberty websites. I'm, not. I will never forget trying the classic new York visa and strolling through central Park, Mary, John unforgettable experience for me and my friends.
",truthful,my first trip to the u s a was incredible landing in the new york city felt like stepping into a whole new world the busting streets towering skyscrapers and ironic charge of liberty websites i 'm not i will never forget trying the classic new york visa and strolling through central park mary john unforgettable experience for me and my friends,trip u s incredible landing new york city feel like step new world bust street tower skyscraper ironic charge liberty website m forget try classic new york visa stroll central park mary john unforgettable experience friend
3,New Recording 19.m4a.88b4c76e-04e1-435c-afc3-12b0d3e911da.Transcript.txt,"Visiting the USA for the first time was like entering a whole new world. I mentioned to, I mentioned to las Vegas and was dialed by the city's vibrant lights and lively at most speed.Excluding the last strip watching mesmerizing shows I'm trying my like time. My lack at the casinos made me an inmate and unforgettable experience.
",truthful,visiting the usa for the first time was like entering a whole new world i mentioned to i mentioned to las vegas and was dialed by the city 's vibrant lights and lively at most speed excluding the last strip watching mesmerizing shows i 'm trying my like time my lack at the casinos made me an inmate and unforgettable experience,visit usa time like enter new world mention mention las vegas dial city vibrant light lively speed exclude strip watch mesmerizing show m try like time lack casino inmate unforgettable experience
4,New Recording 4.m4a.0fc0b022-cd88-47f0-ad59-13e76c5e1383.Transcript.txt,"Stepping off the plane in the USA for the first time filled me with the anticipation. I visited Washington DC and was in all of the city Street history and the ironic landmarks seeing the white house and the Lincoln memory up close was handling. It was a journey through American history that left a phone impact on me.
",truthful,stepping off the plane in the usa for the first time filled me with the anticipation i visited washington dc and was in all of the city street history and the ironic landmarks seeing the white house and the lincoln memory up close was handling it was a journey through american history that left a phone impact on me,step plane usa time fill anticipation visit washington dc city street history ironic landmark see white house lincoln memory close handle journey american history leave phone impact
5,New Recording 21.m4a.72def961-086a-48b6-9f43-a520bd1d3aae.Transcript.txt,"Stepping into the U S for the first time was like entering into your new chapter of my life. I reached Boston and was enchanted by historic charm and also the intellectual wife walking the freedom trial exploring Harbor city and indulging in the comp shorter made an unforgettable adventure Boston left the lasting impression on me.
",truthful,stepping into the u s for the first time was like entering into your new chapter of my life i reached boston and was enchanted by historic charm and also the intellectual wife walking the freedom trial exploring harbor city and indulging in the comp shorter made an unforgettable adventure boston left the lasting impression on me,step u s time like enter new chapter life reach boston enchant historic charm intellectual wife walk freedom trial explore harbor city indulge comp shorter unforgettable adventure boston leave last impression
6,New Recording 18.m4a.95fe6579-6696-45a4-a8da-f2ff7f79a6f4.Transcript.txt," My first trip to the U S A was an adventure I'll, never forget.I explored the National beauty of Eleuthera National Park and was amazed by it.Screeners hot springs. And wildlife.Hiking through the protecting landscapes and witnessing. All faithful EB left me with memories to last a lifetime.
",truthful,my first trip to the u s a was an adventure i 'll never forget i explored the national beauty of eleuthera national park and was amazed by it screeners hot springs and wildlife hiking through the protecting landscapes and witnessing all faithful eb left me with memories to last a lifetime,trip u s adventure forget explore national beauty eleuthera national park amazed screener hot spring wildlife hike protect landscape witness faithful eb leave memory lifetime
7,New Recording 13.m4a.c1141b1a-43b1-4ae5-9955-a8651e4b7589.Transcript.txt,"Stripping Ford in the U S A for the first time was Seria. Street, LOS Angeles. And was blown away by the grammar of Hollywood walking along the Hollywood Walko frame and catching a glimpse of the Hollywood sign left me now. The vibrant energy of the city made every moment. Unforgettable.
",truthful,stripping ford in the u s a for the first time was seria street los angeles and was blown away by the grammar of hollywood walking along the hollywood walko frame and catching a glimpse of the hollywood sign left me now the vibrant energy of the city made every moment unforgettable,strip ford u s time seria street los angeles blow away grammar hollywood walk hollywood walko frame catch glimpse hollywood sign leave vibrant energy city moment unforgettable
8,New Recording 22.m4a.ca0db0cc-da5b-419d-bf06-d4603c9b928b.Transcript.txt,"My first trip to the USA was amazing.Everything felt. So big the cards, the Billings even the foot portions. I remember seeing this charge of Liberty for the first time. It was incredible. Everyone was friendly and I even tried Jane hot dog. It was delicious.
",truthful,my first trip to the usa was amazing everything felt so big the cards the billings even the foot portions i remember seeing this charge of liberty for the first time it was incredible everyone was friendly and i even tried jane hot dog it was delicious,trip usa amazing feel big card billing foot portion remember see charge liberty time incredible friendly try jane hot dog delicious
9,New Recording 16.m4a.f8b107f2-a024-40ad-9660-a2bbab30c0da.Transcript.txt,"My first trip to the U S E was like a dream come true.I wish to Orlando and experience the magic of this new world meeting below characters writing thriller closer rights and watching enchanting parents made an informal unforgettable adventure. It was truly a fairytale come to my life.
",truthful,my first trip to the u s e was like a dream come true i wish to orlando and experience the magic of this new world meeting below characters writing thriller closer rights and watching enchanting parents made an informal unforgettable adventure it was truly a fairytale come to my life,trip u s e like dream come true wish orlando experience magic new world meeting character write thriller close right watch enchant parent informal unforgettable adventure truly fairytale come life
